GID	HCT116_R1	HCT116_R2	HCT116_R3	NCM460_R1	NCM460_R2	NCM460_R3	Length
ENSG00000000003	4548	4759	1470	3519	1859	2275	2968
ENSG00000000005	6	4	0	0	1	0	1610
ENSG00000000419	1558	1327	1599	2791	2488	3986	1207
ENSG00000000457	467	473	742	857	604	379	6876
ENSG00000000460	797	1199	585	1847	1836	1012	6354
ENSG00000000938	0	0	1	0	0	0	3474
ENSG00000000971	5	0	1	0	0	0	8144
ENSG00000001036	2739	2303	2043	6265	4393	1803	3119
ENSG00000001084	1159	1396	3659	2865	2334	2527	8463
ENSG00000001167	2131	2670	2322	2376	1783	1950	3811
ENSG00000001460	857	850	487	262	282	508	8514
ENSG00000001461	1249	1277	1294	908	436	2463	9404
ENSG00000001497	3560	5194	1722	2130	3192	3514	5589
ENSG00000001561	858	803	1567	768	935	0	4651
ENSG00000001617	1892	1357	1369	5783	2444	213	4826
ENSG00000001626	3	0	29	14922	3204	0	8099
ENSG00000001629	1608	1569	2950	3231	1750	3288	7130
ENSG00000001630	108	185	487	170	96	40	4074
ENSG00000001631	1280	1781	1325	1334	1208	1321	6204
ENSG00000002016	619	502	959	717	686	895	4190
ENSG00000002079	6	7	56	28	3	309	6387
ENSG00000002330	288	260	457	296	234	206	1708
ENSG00000002549	2662	3458	3274	6113	3745	3379	3785
ENSG00000002586	7668	8534	1964	10223	5605	1797	3284
ENSG00000002587	4	0	3376	575	910	2023	8166
ENSG00000002726	0	1	94	3	4	44	3824
ENSG00000002745	7	7	3361	1	0	24	3261
ENSG00000002746	34	52	492	8	3	4	13965
ENSG00000002822	694	1575	1412	1496	1747	1200	6955
ENSG00000002834	2826	3067	10555	9060	6483	13652	7061
ENSG00000002919	746	1101	1038	1049	910	806	3606
ENSG00000002933	1	0	1	0	0	0	3479
ENSG00000003056	1724	2264	2858	5060	5569	3996	3777
ENSG00000003096	593	1035	356	0	0	425	6983
ENSG00000003137	229	228	1569	17	0	374	5015
ENSG00000003147	355	149	613	1368	825	19	4891
ENSG00000003249	1596	1370	3252	2245	1897	177	3522
ENSG00000003393	1407	1469	2125	2669	2281	2401	10381
ENSG00000003400	777	518	230	844	465	412	7598
ENSG00000003402	558	538	1523	2147	1607	1621	22528
ENSG00000003436	326	170	797	48	1	109	11714
ENSG00000003509	893	682	757	663	584	728	3651
ENSG00000003756	2586	2471	2484	3202	2573	3060	10368
ENSG00000003987	94	42	56	36	16	73	5692
ENSG00000003989	1642	3150	1547	430	143	1311	7905
ENSG00000004059	4478	3505	5105	4198	3027	1921	1871
ENSG00000004139	558	656	50	200	16	1	8132
ENSG00000004142	6720	7710	4088	6980	7379	4743	2662
ENSG00000004399	4043	4902	4108	68	22	1430	9738
ENSG00000004455	9431	14573	6417	5647	5866	9310	5683
ENSG00000004468	3	0	6	0	1	0	6855
ENSG00000004478	10098	15387	6166	8065	13465	5339	3958
ENSG00000004487	9407	11070	9603	4224	4213	7669	5447
ENSG00000004534	2491	2847	3417	4189	3114	2542	7300
ENSG00000004660	1728	1875	894	280	157	639	7424
ENSG00000004700	1281	1498	1064	1209	991	2771	3778
ENSG00000004766	627	987	621	1405	1146	986	7359
ENSG00000004776	2	12	2	5	4	4	1722
ENSG00000004777	470	481	1442	237	228	111	5260
ENSG00000004779	3254	3709	2142	2768	3439	1555	1600
ENSG00000004799	70	41	263	0	1	0	4519
ENSG00000004809	1	0	0	0	0	0	3791
ENSG00000004838	27	37	103	5	22	23	4009
ENSG00000004846	16	2	1	0	0	0	9257
ENSG00000004848	12	0	31	0	0	0	2876
ENSG00000004864	1889	3074	1003	3459	1904	1653	3710
ENSG00000004866	667	767	362	1058	1264	470	6742
ENSG00000004897	3423	5519	6472	4763	3444	7269	6824
ENSG00000004939	0	9	15	0	0	0	5287
ENSG00000004948	1	9	5	0	0	0	4036
ENSG00000004961	1405	1693	1068	1561	1418	1242	2335
ENSG00000004975	3578	2825	3633	2280	2394	2025	5350
ENSG00000005001	0	0	1007	2246	1114	365	2387
ENSG00000005007	6359	10061	6115	5424	8117	8607	8600
ENSG00000005020	1241	1565	1261	1015	501	1420	5520
ENSG00000005022	21851	26571	14612	19371	19091	16285	1500
ENSG00000005059	1207	953	917	1040	881	677	3558
